stop_id,stop_name,stop_desc,platform_code,ja-Hrkt,en,zh-Hans,zh-Hant,ko,Flat,Comm Pass,Ward
191300,西本願寺前,西本願寺前(南行),,にしほんがんじまえ,Nishihonganji-mae (Nishihonganji Temple),西本愿寺前,西本願寺前,니시혼간지마에,0,1,下
191400,西本願寺前,西本願寺前(北行),,にしほんがんじまえ,Nishihonganji-mae (Nishihonganji Temple),西本愿寺前,西本願寺前,니시혼간지마에,0,1,下
192100,七条堀川,七条堀川(B),B,ななじょうほりかわ,Nanajo Horikawa,七条堀川,七条堀川,나나조호리카와,0,1,下
192200,七条堀川,七条堀川(E),E,ななじょうほりかわ,Nanajo Horikawa,七条堀川,七条堀川,나나조호리카와,0,1,下
192310,七条堀川,七条堀川(C),C,ななじょうほりかわ,Nanajo Horikawa,七条堀川,七条堀川,나나조호리카와,0,1,下
192320,七条堀川,七条堀川(A),A,ななじょうほりかわ,Nanajo Horikawa,七条堀川,七条堀川,나나조호리카와,0,1,下
192410,七条堀川,七条堀川(F),F,ななじょうほりかわ,Nanajo Horikawa,七条堀川,七条堀川,나나조호리카와,0,1,下
192420,七条堀川,七条堀川(D),D,ななじょうほりかわ,Nanajo Horikawa,七条堀川,七条堀川,나나조호리카와,0,1,下
193100,七条西洞院,七条西洞院(東行),,ななじょうにしのとういん,Nanajo Nishinotoin,七条西洞院,七条西洞院,나나조니시노토인,0,1,下
193200,七条西洞院,七条西洞院(西行),,ななじょうにしのとういん,Nanajo Nishinotoin,七条西洞院,七条西洞院,나나조니시노토인,0,1,下
193300,七条西洞院,七条西洞院(南行),,ななじょうにしのとういん,Nanajo Nishinotoin,七条西洞院,七条西洞院,나나조니시노토인,0,1,下
193400,七条西洞院,七条西洞院(北行),,ななじょうにしのとういん,Nanajo Nishinotoin,七条西洞院,七条西洞院,나나조니시노토인,0,1,下
194100,山越,山越(東行),,やまごえ,Yamagoe,山越,山越,야마고에,0,1,右
194200,山越,山越(西行),,やまごえ,Yamagoe,山越,山越,야마고에,0,1,右
195100,ユースホステル前,ユースホステル前(東行),,ゆーすほすてるまえ,Youth Hostel-mae (Kyoto Utano Youth Hostel),Youth Hostel前（宇多野青年旅舍）,Youth Hostel前（宇多野青年旅舍）,유스호스테루마에（우타노 유스호스텔）,0,1,右
195200,ユースホステル前,ユースホステル前(西行),,ゆーすほすてるまえ,Youth Hostel-mae (Kyoto Utano Youth Hostel),Youth Hostel前（宇多野青年旅舍）,Youth Hostel前（宇多野青年旅舍）,유스호스테루마에（우타노 유스호스텔）,0,1,右
196100,宇多野病院前,宇多野病院前(東行),,うたのびょういんまえ,Utano Byoin-mae (Utano Hospital),宇多野病院前（宇多野医院）,宇多野病院前（宇多野醫院）,우타노뵤인마에（우타노병원）,0,1,右
196200,宇多野病院前,宇多野病院前(西行),,うたのびょういんまえ,Utano Byoin-mae (Utano Hospital),宇多野病院前（宇多野医院）,宇多野病院前（宇多野醫院）,우타노뵤인마에（우타노병원）,0,1,右
197100,鳴滝本町,鳴滝本町(東行),,なるたきほんまち,Narutaki Honmachi,鸣泷本町,鳴瀧本町,나루타키혼마치,0,1,右
